cnn~~Steve Almasy and Jamiel Lynch, CNN~~Confessed serial killer Samuel Little now linked to 60 deaths of women~~http://us.cnn.com/2019/06/07/us/samuel-little-serial-killer-60-deaths/index.html~~2019-06-08T00:44:36Z,
cnn~~null~~FBI: Serial killer drew portraits of alleged victims - CNN Video~~http://us.cnn.com/videos/us/2019/02/13/samuel-little-convicted-serial-killer-drawings-casarez-nr-vpx.cnn~~null,,
cnn~~Lauren del Valle and Jamiel Lynch, CNN~~NYPD Transit cops arrest a man for one murder, and he says he's committed 6 more~~http://us.cnn.com/2019/05/09/us/miami-beach-serial-killer/index.html~~2019-05-09T20:20:17Z
cnn~~null~~Critics say Ted Bundy film glamorizes serial killer - CNN Video~~http://us.cnn.com/videos/entertainment/2019/01/29/ted-bundy-zac-efron-movie-ots-vpx.hln~~null,,
cnn~~Susan Scutti, CNN~~Unusual symptoms pointing to brain cancer turned into something completely different~~http://us.cnn.com/2019/06/07/health/tapeworm-brain-trnd/index.html~~2019-06-07T20:53:10Z,
cnn~~Harmeet Kaur, CNN~~An amateur sleuth helped authorities confirm the identities of the New Hampshire murder victims~~http://us.cnn.com/2019/06/07/us/new-hampshire-bear-brook-murders-researcher/index.html~~2019-06-08T02:56:42Z,
cnn~~null~~University of Alabama spurns $21.5 million and removes donor's name from law school~~http://us.cnn.com/2019/06/07/us/university-alabama-abortion-donation/index.html~~2019-06-07T19:56:30Z,,
cnn~~Harmeet Kaur, CNN~~The identities of four murder victims remained a mystery for decades. Now authorities have some answers~~http://us.cnn.com/2019/06/06/us/new-hampshire-bear-brook-murder-victims-identified/index.html~~2019-06-07T08:03:21Z
cnn~~Madeline Holcombe, CNN~~Detroit police are looking for a possible serial killer and rapist targeting sex workers~~http://us.cnn.com/2019/06/06/us/detroit-serial-killer-sex-workers/index.html~~2019-06-08T01:38:07Z
cnn~~Faith Karimi, CNN~~Two former state senators found dead in their homes within two days~~http://us.cnn.com/2019/06/08/us/senators-killed-oklahoma-arkansas/index.html~~2019-06-08T06:05:27Z
cnn~~Nick Valencia, CNN~~An Army vet died in police custody and some organs are missing. His family wants answers.~~http://us.cnn.com/2019/06/07/us/army-vet-dies-in-custody-organs-missing/index.html~~2019-06-08T02:40:35Z
cnn~~Jeremy Diamond, Maegan Vazquez, Michelle Kosinski and Caroline Kelly, CNN~~Trump drops his Mexico tariff threat after reaching immigration enforcement deal~~http://us.cnn.com/2019/06/07/politics/trump-tariffs-mexico-mike-pence/index.html~~2019-06-08T02:58:10Z
cnn~~null~~Pennsylvania voters changing course on Trump - CNN Video~~http://us.cnn.com/videos/politics/2019/06/07/women-voters-pennsylvania-trump-marquez-pkg-vpx-newday.cnn~~null
cnn~~Eli Watkins, CNN~~Pelosi on Trump-Mexico agreement: 'Threats and temper tantrums are no way to negotiate'~~http://us.cnn.com/2019/06/08/politics/nancy-pelosi-slams-trump-mexico-tariffs/index.html~~2019-06-08T15:37:44Z
cnn~~Analysis by Harry Enten, CNN~~Trump would likely lose an election held today~~http://us.cnn.com/2019/06/08/politics/trump-2020-reelection-against-joe-biden-analysis/index.html~~2019-06-08T16:24:44Z
cnn~~Em Steck and Andrew Kaczynski, CNN~~Larry Kudlow once said Trump's proposed trade policies 'will pose incalculable damage' to US economy~~http://us.cnn.com/2019/06/06/politics/kudlow-trade-incalculable-damage-economy/index.html~~2019-06-06T21:00:11Z
cnn~~Catherine E. Shoichet and Geneva Sands, CNN~~What's behind the spike in immigrants at the border~~http://us.cnn.com/2019/06/07/politics/reasons-behind-immigration-spike-at-the-border/index.html~~2019-06-07T18:17:49Z
cnn~~Max Foster and Tara John, CNN~~Trooping the Colour sees Meghan's first royal engagement since giving birth~~http://us.cnn.com/2019/06/08/uk/trooping-the-color-royals-meghan-gbr-intl/index.html~~2019-06-08T11:01:16Z
cnn~~null~~This small town could be underwater within a generation - CNN Video~~http://us.cnn.com/videos/world/2019/06/08/climate-change-sea-level-fairbourne-wales-coastal-town-black-pkg-ndwknd-vpx.cnn~~null
